artifact_name,countr_of_origin,acquisition_date,created_date,description,continent
Relay,United States of America,1966,1950,"GLASS, METAL, SYNTHETIC/ CARDBOARD BOX",NA
Propeller,United States of America,1966,1910,WOODEN PROPELLER WITH METAL TRAILING EGDES AND TIPS/ BRASS MFR'S PLATE,NA
Propeller,Canada,1966,1942,WOOD/ METAL,NA
"Compass, solar",United States of America,1966,1891,BRASS CONSTRUCTION; STERLING SILVER ARCS AND GRADUATIONS OF LIMB; GLASS TUBE LEVEL VIALS. WOODEN CASE FITTED WITH BRASS HINGES.,NA
"Engine, automobile",Canada,1966,1948,CAST IRON/ STEEL/ ASSORTED METALS,NA
"Watch, pocket",United States of America,1966,1898,METAL BODY/ ENAMEL OR PORCELAIN FACE/ GLASS CRYSTAL,NA
Headlamp,United States of America,1966,1900,SHEET AND CAST METAL (IRON?)/ GLASS LENS,NA
"Board, order",Canada,1966,1919,CAST IRON BODY AND MOUNT/ GLASS LENSES/ WOODEN ARM ATTACHMENT,NA
"Therapy machine, cobalt",Canada,1966,1956,"METAL,"" SYNTHETIC & WOOD COMPONENTS.",NA
Camera,United States of America,1966,1926,Cast steel body/ Glass lens element/ Synthetic/ Leather box? with plush lining.,NA
Camera,United States of America,1966,1919,METAL CAMERA BODY/ METAL & WOOD FILM HOLDERS/ GLASS LENS ELEMENT/ CLOTH SHUTTER/ LEATHER?/ WOOD CASE,NA
Camera,Federal Republic of Germany,1966,1968,METAL BODY & INTERIOR FITTINGS/ LEATHER COVERING/ RUBBERIZED CLOTH SHUTTER/ SYNTHETIC PARTS,EU
"Plate, equipment number",Canada,1966,1917,BRASS,NA
"Plate, equipment number",Canada,1966,1913,BRASS,NA
"Plate, equipment number",United States of America,1966,1919,BRASS,NA
Airplane,Canada,1966,1938,"these were the first all-metal stressed-skin aircraft to be built in Canada. The Delta used the same wing as the Gamma, had split flaps and a non-retractable undercarriage like its predecessors",NA
Propeller,United States of America,1966,1920,WOOD/ FABRIC,NA
"Helmet, flying",United States of America,1966,1940,GABARDINE CLOTH/ FLEECE LINING/ LEATHER/ METAL,NA
"Helmet, flying",United States of America,1966,1942,LEATHER HELMET & CHINSTRAP/ DOESKIN LINING/ RUBBER KAPOK-FILLED EARPHONE MOUNTINGS/ METAL SNAPS & BUCKLE,NA
"Helmet, flying",Canada,1966,1930,"LEATHER EXTERIOR/ CHAMOIS LINING/ METAL EARPHONE FIXTURE, SNAPS & BUCKLES",NA
"Helmet, flying",Canada,1966,1943,CANVAS MESH/ LEATHER/ RUBBER/ FELT/ METAL,NA
"Goggles, flying",Canada,1966,1942,LEATHER FACEPIECE & STRAP/ PLASTIC LENSES/ METAL FRAME & FITTINGS/ COTTON (?) STRAP/ VELVET LINERS,NA
"Boot, flying",Canada,1966,1940,LEATHER/ SHEARLING LINING/ METAL BUCKLES ON SHAFT FRONT,NA
